amfi,ISIN
113221,INF760K01AR3
114458,INF174K01153
103174,INF209K01BR9
103504,INF200K01180
111940,INF754K01046
106235,INF204K01562
102000,INF179K01BE2
107578,INF769K01010
100471,INF090I01171
108466,INF109K01BL4
112277,INF846K01164
101635,INF740K01243
118069,INF677K01155
112323,INF846K01131
107745,INF209K01108
133385,INF247L01544
104772,INF740K01185
111722,INF760K01100
118047,INF677K01064
135784,INF769K01DK3
103196,INF204K01GK4
101979,INF179K01BB8
100821,INF789F01547
105628,INF200K01495
100354,INF109K01464
103339,INF174K01369
100526,INF090I01775
100998,INF179K01996
103098,INF789F01AG5
100496,INF090I01296
101672,INF277K01451
101764,INF179K01426
102594,INF109K01AF8
118102,INF677K01023
108909,INF194K01342
108167,INF209K01LF3
103085,INF204K01GB3
125494,INF200K01T28
113177,INF204K01HY3
103360,INF090I01569
102875,INF174K01211
105804,INF209K01EN2
105989,INF740K01797
130502,INF179KA1RZ8
125350,INF846K01K01
129223,INF917K01QC7
146193,INF754K01JJ4
106823,INF109K01BI0
146127,INF760K01JF9
105067,INF090I01874
101281,INF179K01LA9
146379,INF740KA1MJ3
113296,INF204K01IE3
143340,INF789FC11T3
101314,INF209K01LB2
101525,INF179K01KZ8
141839,INF109KB17W7
101349,INF109K01PI0
146380,INF740KA1MD6
102272,INF200K01537
112957,INF109K01IF1
147479,INF769K01EY2
105758,INF179K01CR2
104908,INF174K01DS9
100473,INF090I01809
105503,INF205K01BC9
104481,INF740K01128
102941,INF200K01560
100377,INF204K01323
127039,INF247L01411
112496,INF917K01254
114564,INF846K01859
101592,INF209K01363
102528,INF109K01AN2
147203,INF769K01ES4
147477,INF174KA1EK3
117560,INF846K01CH7
103309,INF209K01462
102760,INF179K01574
111957,INF109K01BZ4
105817,INF090I01981
145378,INF917K01B14
112901,INF740K01532
104637,INF204K01GE7
122387,INF247L01155
102756,INF200K01370
103819,INF740K01094
130496,INF179KA1RT1
100033,INF209K01165
103024,INF200K01305
102883,INF090I01205
102920,INF760K01167
100349,INF109K01431
118049,INF677K01098
140172,INF843K01047
145112,INF846K01J79
103234,INF174K01187
100380,INF204K01406
112932,INF769K01101
101862,INF204K01927
102395,INF789F01752
147345,INF109KC1D69
101766,INF277K01782
100352,INF109K01415
117620,INF109K01E35
102398,INF789F01299
145456,INF740KA1LD8
143785,INF769K01EA2
125595,INF209K011W7
103149,INF109K01AV5
112092,INF090I01AE7
100807,INF789F01695
102431,INF204K01968
112600,INF917K01536
107524,INF179K01GF8
108202,INF740K01060
109445,INF109K01BU5
100064,INF209K01322
147407,INF209KB1N91
100522,INF090I01742
102823,INF200K01446
100363,INF109K01506
103476,INF209K01504
102807,INF173K01AC1
105460,INF205K01189
129310,INF109KA1TX4
101738,INF209K01405
102414,INF200K01362
103678,INF090I01957
103026,INF789F01463
103040,INF174K01245
118043,INF677K01031
103166,INF209K01AJ8
100520,INF090I01239
129048,INF247L01478
140355,INF843K01KN5
103215,INF200K01222
112090,INF174K01336
100669,INF789F01513
101228,INF109K01613
101762,INF179K01608
105875,INF740K01037
141927,INF846K01B51
101161,INF204K01489
113269,INF204K01IM6
100822,INF789F01JL6
140225,INF843K01013
102394,INF789F01810
133858,INF200KA1473
113049,INF179K01CN1
116633,INF090I01EW1
131163,INF789FA1XX0
103390,INF760K01274
147701,INF247L01965
